排名,沪深300ETF比例,中债新综合LOF比例,红利ETF比例,再平衡阈值,再平衡启用,策略A启用,策略B启用,累计总收益,年化收益,最大回撤,年化波动,夏普比率,卡玛比率
164,undefined%,20%,80%,2%,开,关,关,368.9504%,12.2901%,63.2327%,36.9083%,0.265300,0.194363
165,undefined%,100%,0%,2%,开,开,开,145.7869%,6.9784%,29.9029%,16.8863%,0.265200,0.233369
166,undefined%,100%,0%,2%,开,开,关,145.7869%,6.9784%,29.9029%,16.8863%,0.265200,0.233369
167,undefined%,20%,20%,1%,开,关,开,93.7044%,5.0844%,20.1728%,9.8093%,0.263500,0.252042
168,undefined%,20%,20%,1%,开,关,关,93.7044%,5.0844%,20.1728%,9.8093%,0.263500,0.252042
169,undefined%,100%,0%,1%,开,开,开,142.7697%,6.8793%,29.9351%,16.7984%,0.260700,0.229807
170,undefined%,100%,0%,1%,开,开,关,142.7697%,6.8793%,29.9351%,16.7984%,0.260700,0.229807
171,undefined%,20%,20%,2%,开,关,开,93.0376%,5.0573%,20.8305%,9.8547%,0.259500,0.242783
172,undefined%,20%,20%,2%,开,关,关,93.0376%,5.0573%,20.8305%,9.8547%,0.259500,0.242783
173,undefined%,0%,20%,3%,开,开,开,127.0552%,6.3441%,33.3482%,14.8229%,0.259300,0.190238
174,undefined%,0%,20%,3%,开,开,关,127.0552%,6.3441%,33.3482%,14.8229%,0.259300,0.190238
175,undefined%,0%,60%,2%,开,关,开,240.7699%,9.6327%,51.2129%,27.5586%,0.258800,0.188091
176,undefined%,0%,60%,2%,开,关,关,240.7699%,9.6327%,51.2129%,27.5586%,0.258800,0.188091
177,undefined%,100%,0%,3%,开,开,开,141.3196%,6.8313%,29.7699%,16.8438%,0.257100,0.229470
178,undefined%,100%,0%,3%,开,开,关,141.3196%,6.8313%,29.7699%,16.8438%,0.257100,0.229470
179,undefined%,0%,60%,1%,开,关,开,238.3603%,9.5743%,51.3973%,27.5432%,0.256800,0.186280
180,undefined%,0%,60%,1%,开,关,关,238.3603%,9.5743%,51.3973%,27.5432%,0.256800,0.186280
181,undefined%,60%,40%,1%,关,关,开,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
182,undefined%,60%,40%,1%,关,关,关,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
183,undefined%,60%,40%,2%,关,关,开,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
184,undefined%,60%,40%,2%,关,关,关,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
185,undefined%,60%,40%,3%,关,关,开,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
186,undefined%,60%,40%,3%,关,关,关,179.5352%,8.0158%,44.8588%,21.4986%,0.256600,0.178690
